Bound,Id
0,0
1,1
0,2
0,3
1,4
0,5
0,6
1,7
1,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
1,18
0,19
1,20
1,21
0,22
1,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
1,31
1,32
0,33
1,34
0,35
0,36
0,37
0,38
0,39
0,40
1,41
1,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
1,51
1,52
0,53
1,54
0,55
0,56
0,57
1,58
0,59
0,60
0,61
1,62
1,63
1,64
0,65
1,66
0,67
1,68
0,69
0,70
1,71
1,72
1,73
1,74
1,75
1,76
0,77
0,78
1,79
1,80
0,81
1,82
1,83
1,84
0,85
0,86
1,87
0,88
1,89
1,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
1,98
1,99
0,100
1,101
0,102
1,103
1,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
1,112
1,113
0,114
1,115
0,116
1,117
0,118
0,119
0,120
0,121
0,122
0,123
1,124
0,125
1,126
1,127
0,128
1,129
0,130
0,131
0,132
0,133
0,134
0,135
1,136
1,137
0,138
0,139
1,140
1,141
0,142
1,143
1,144
1,145
1,146
1,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
1,155
1,156
0,157
1,158
1,159
0,160
1,161
0,162
0,163
1,164
0,165
1,166
1,167
0,168
1,169
1,170
1,171
0,172
0,173
0,174
0,175
1,176
1,177
1,178
1,179
1,180
0,181
1,182
0,183
1,184
1,185
1,186
1,187
1,188
0,189
1,190
1,191
0,192
0,193
1,194
0,195
0,196
0,197
0,198
1,199
1,200
1,201
0,202
0,203
0,204
1,205
1,206
0,207
0,208
1,209
0,210
0,211
1,212
0,213
0,214
0,215
0,216
1,217
1,218
0,219
1,220
1,221
0,222
1,223
1,224
0,225
0,226
0,227
0,228
0,229
0,230
1,231
1,232
0,233
1,234
0,235
1,236
0,237
0,238
0,239
0,240
1,241
0,242
0,243
1,244
1,245
0,246
0,247
0,248
0,249
1,250
0,251
0,252
1,253
1,254
0,255
0,256
0,257
0,258
0,259
1,260
1,261
1,262
1,263
0,264
0,265
0,266
0,267
0,268
1,269
1,270
0,271
0,272
0,273
0,274
0,275
1,276
0,277
0,278
0,279
0,280
0,281
1,282
1,283
1,284
0,285
1,286
0,287
0,288
0,289
1,290
1,291
1,292
1,293
1,294
1,295
0,296
0,297
0,298
1,299
1,300
0,301
0,302
0,303
0,304
1,305
1,306
0,307
0,308
0,309
0,310
1,311
0,312
0,313
0,314
1,315
1,316
1,317
1,318
1,319
1,320
0,321
0,322
1,323
1,324
1,325
0,326
0,327
0,328
0,329
1,330
1,331
1,332
1,333
1,334
1,335
1,336
0,337
0,338
0,339
1,340
1,341
0,342
1,343
0,344
0,345
1,346
0,347
0,348
1,349
1,350
0,351
1,352
0,353
1,354
1,355
1,356
1,357
1,358
0,359
0,360
0,361
1,362
1,363
1,364
1,365
0,366
1,367
0,368
0,369
1,370
1,371
0,372
1,373
0,374
0,375
1,376
1,377
1,378
1,379
1,380
0,381
0,382
0,383
0,384
1,385
0,386
0,387
1,388
1,389
0,390
1,391
0,392
0,393
1,394
1,395
0,396
1,397
0,398
0,399
1,400
1,401
1,402
0,403
1,404
1,405
1,406
1,407
1,408
1,409
0,410
1,411
0,412
0,413
0,414
1,415
1,416
0,417
1,418
1,419
1,420
0,421
1,422
1,423
0,424
1,425
0,426
0,427
1,428
0,429
0,430
1,431
0,432
1,433
0,434
1,435
1,436
0,437
1,438
1,439
0,440
1,441
1,442
1,443
0,444
1,445
0,446
1,447
0,448
0,449
1,450
0,451
0,452
1,453
1,454
1,455
0,456
1,457
0,458
0,459
0,460
0,461
0,462
0,463
1,464
0,465
0,466
0,467
0,468
1,469
0,470
1,471
0,472
1,473
1,474
0,475
0,476
1,477
1,478
1,479
1,480
0,481
0,482
1,483
0,484
0,485
1,486
1,487
0,488
1,489
0,490
1,491
1,492
0,493
1,494
1,495
0,496
1,497
0,498
1,499
1,500
0,501
0,502
1,503
0,504
1,505
0,506
1,507
1,508
1,509
0,510
1,511
1,512
0,513
0,514
0,515
0,516
1,517
0,518
1,519
0,520
0,521
1,522
1,523
0,524
1,525
0,526
1,527
1,528
1,529
1,530
0,531
0,532
1,533
1,534
1,535
1,536
0,537
0,538
0,539
1,540
1,541
1,542
0,543
0,544
1,545
1,546
1,547
1,548
1,549
1,550
1,551
1,552
0,553
0,554
1,555
0,556
1,557
1,558
1,559
1,560
0,561
1,562
0,563
0,564
0,565
1,566
1,567
0,568
1,569
0,570
0,571
0,572
1,573
0,574
0,575
0,576
0,577
1,578
0,579
1,580
0,581
0,582
1,583
1,584
0,585
1,586
0,587
1,588
1,589
1,590
0,591
0,592
0,593
0,594
0,595
1,596
1,597
0,598
0,599
1,600
1,601
1,602
1,603
0,604
0,605
0,606
1,607
1,608
0,609
1,610
0,611
0,612
1,613
1,614
0,615
0,616
0,617
0,618
0,619
1,620
0,621
1,622
1,623
1,624
0,625
0,626
0,627
0,628
1,629
0,630
0,631
0,632
0,633
0,634
0,635
1,636
1,637
1,638
1,639
0,640
0,641
1,642
1,643
1,644
1,645
0,646
1,647
0,648
0,649
1,650
1,651
0,652
0,653
1,654
1,655
1,656
0,657
1,658
1,659
1,660
1,661
1,662
0,663
1,664
1,665
0,666
0,667
0,668
1,669
0,670
0,671
1,672
0,673
0,674
0,675
0,676
0,677
0,678
1,679
1,680
0,681
1,682
1,683
0,684
0,685
1,686
1,687
0,688
1,689
0,690
0,691
0,692
1,693
0,694
1,695
0,696
0,697
1,698
0,699
1,700
0,701
1,702
1,703
1,704
1,705
0,706
0,707
1,708
0,709
0,710
1,711
0,712
1,713
1,714
0,715
0,716
0,717
1,718
0,719
1,720
1,721
1,722
0,723
0,724
0,725
1,726
1,727
1,728
1,729
1,730
0,731
0,732
1,733
1,734
0,735
1,736
1,737
0,738
1,739
0,740
0,741
0,742
0,743
1,744
0,745
0,746
0,747
1,748
1,749
1,750
1,751
1,752
0,753
0,754
1,755
0,756
0,757
1,758
0,759
0,760
0,761
0,762
1,763
0,764
1,765
1,766
0,767
0,768
0,769
0,770
1,771
0,772
0,773
0,774
0,775
1,776
1,777
1,778
0,779
0,780
0,781
1,782
1,783
1,784
1,785
1,786
0,787
0,788
1,789
1,790
1,791
0,792
0,793
0,794
1,795
0,796
0,797
1,798
0,799
0,800
1,801
1,802
0,803
1,804
1,805
1,806
1,807
0,808
1,809
1,810
1,811
1,812
1,813
0,814
0,815
1,816
1,817
1,818
0,819
0,820
1,821
0,822
0,823
0,824
0,825
1,826
1,827
0,828
0,829
1,830
1,831
0,832
0,833
0,834
1,835
0,836
1,837
1,838
0,839
0,840
0,841
1,842
0,843
1,844
0,845
1,846
1,847
1,848
0,849
0,850
1,851
1,852
0,853
0,854
1,855
0,856
1,857
1,858
1,859
0,860
0,861
0,862
0,863
0,864
0,865
0,866
1,867
0,868
0,869
0,870
1,871
0,872
0,873
0,874
0,875
0,876
0,877
1,878
1,879
0,880
0,881
1,882
0,883
1,884
0,885
1,886
0,887
1,888
0,889
1,890
1,891
0,892
1,893
0,894
0,895
0,896
1,897
1,898
0,899
1,900
1,901
1,902
0,903
1,904
1,905
0,906
1,907
1,908
0,909
0,910
0,911
1,912
0,913
0,914
1,915
0,916
1,917
0,918
0,919
0,920
0,921
1,922
1,923
0,924
0,925
1,926
0,927
0,928
1,929
0,930
0,931
1,932
0,933
0,934
1,935
0,936
1,937
1,938
0,939
1,940
0,941
1,942
1,943
0,944
0,945
0,946
0,947
0,948
0,949
0,950
1,951
0,952
1,953
1,954
1,955
1,956
0,957
1,958
1,959
0,960
0,961
0,962
1,963
0,964
1,965
0,966
0,967
0,968
0,969
0,970
0,971
0,972
0,973
1,974
1,975
0,976
1,977
0,978
0,979
1,980
0,981
0,982
0,983
1,984
0,985
1,986
1,987
0,988
0,989
0,990
1,991
1,992
1,993
1,994
0,995
0,996
0,997
0,998
1,999
1,1000
1,1001
0,1002
1,1003
1,1004
0,1005
1,1006
0,1007
1,1008
0,1009
1,1010
0,1011
0,1012
0,1013
1,1014
1,1015
1,1016
0,1017
1,1018
0,1019
0,1020
1,1021
0,1022
0,1023
0,1024
0,1025
0,1026
0,1027
1,1028
0,1029
0,1030
0,1031
0,1032
0,1033
1,1034
1,1035
0,1036
1,1037
0,1038
1,1039
0,1040
0,1041
1,1042
1,1043
1,1044
0,1045
1,1046
0,1047
0,1048
0,1049
1,1050
1,1051
1,1052
0,1053
0,1054
0,1055
0,1056
1,1057
0,1058
1,1059
1,1060
